,ticker,period,Aktywa ogółem,I. Aktywa trwałe,1. Wartości niematerialne i prawne,2. Rzeczowe składniki majątku trwałego,3. Należności długoterminowe,4. Inwestycje długoterminowe,5. Pozostałe aktywa trwałe,II. Aktywa obrotowe,1. Zapasy,2. Należności krótkoterminowe,3. Inwestycje krótkoterminowe,W tym: środki pieniężne i inne aktywa pieniężne,4. Pozostałe aktywa obrotowe,5. Aktywa trwałe przeznaczone do sprzedaży,Pasywa ogółem,I. Kapitał własny,1. Kapitał (fundusz) podstawowy,2. Udziały (akcje) własne (wielkość ujemna),3. Kapitał (fundusz) zapasowy,4. Zysk (strata) z lat ubiegłych,5. Zysk (strata) netto,6. Udziały niekontrolujące,II. Zobowiązania ogółem,1. Zobowiązania długoterminowe,Z tytułu dostaw i usług,Kredyty i pożyczki,Z tytułu emisji dłużnych papierów wartościowych,Zobowiązania z tytułu leasingu finansowego,Inne zobowiązania długoterminowe,2. Zobowiązania krótkoterminowe,Inne zobowiązania krótkoterminowe,III. Rozliczenia międzyokresowe,A. Przepływy pieniężne z działalności operacyjnej,Amortyzacja,Zmiana stanu należności,Zmiana stanu zapasów,Zmiana stanu zobowiązań,Zmiana rezerw i pozostałe,Kapitał obrotowy,B. Przepływy pieniężne z działalności inwestycyjnej,CAPEX (niematerialne i rzeczowe),C. Przepływy pieniężne z działalności finansowej,Emisja akcji,Odsetki pozyskane,Odsetki zapłacone,Dywidenda,Przepływy pieniężne razem (A+B+C),Środki pieniężne na koniec okresu,I. Przychody ze sprzedaży,Techniczny koszt wytworzenia produkcji sprzedanej,Koszty sprzedaży,Koszty ogólnego zarządu,II. Zysk (strata) ze sprzedaży,Pozostałe przychody operacyjne,Pozostałe koszty operacyjne,III. EBIT,Przychody finansowe,Koszty finansowe,Pozostałe przychody (koszty),IV. Zysk (strata) z działalności gospodarczej,Wynik zdarzeń nadzwyczajnych,Zysk przed opodatkowaniem,Zysk (strata) netto z działalności zaniechanej,V. Zysk netto,W tym: zysk netto akcjonariuszy jednostki dominującej,Zysk netto na akcję
0,06N,Y 12.19,29489.0,25830.0,2892.0,3871.0,104.0,15876.0,2547.0,3659.0,6.0,1460.0,1303.0,755.0,135.0,0.0,29489.0,20827.0,13922.0,-468.0,51478.0,-44105.0,0.0,1132.0,7530.0,2325.0,2000.0,295.0,0.0,0.0,30.0,5205.0,1384.0,171.0,-1148.0,602.0,0.0,0.0,0.0,0.0,0.0,-476.0,802.0,1964.0,0.0,0.0,0.0,0.0,340.0,755.0,5145.0,3300.0,533.0,3276.0,-1964.0,3292.0,130.0,1198.0,2225.0,1253.0,26.0,2196.0,0.0,2196.0,0.0,1999.0,1605.0,0.12
1,08N,Y 12.19,77738.0,41960.0,0.0,22751.0,819.0,15606.0,281.0,35778.0,0.0,1188.0,21146.0,13444.0,0.0,0.0,77738.0,62144.0,4279.0,-905.0,22359.0,36411.0,0.0,1057.0,14537.0,4416.0,0.0,0.0,0.0,2498.0,1918.0,10121.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4676.0,0.0,209.0,0.0,0.0,0.0,0.0,-4467.0,13444.0,-2978.0,0.0,0.0,0.0,-6543.0,2458.0,31.0,-4116.0,0.0,-982.0,0.0,-3134.0,0.0,-3134.0,0.0,-2641.0,-2622.0,-0.0613
2,11B,Y 12.19,155668.0,49815.0,24871.0,24044.0,0.0,0.0,557.0,105853.0,12.0,23192.0,67329.0,14883.0,438.0,0.0,155668.0,119740.0,229.0,0.0,98009.0,21502.0,0.0,0.0,35928.0,11262.0,0.0,10430.0,0.0,335.0,498.0,24666.0,0.0,11920.0,41643.0,6424.0,0.0,0.0,0.0,0.0,0.0,-49342.0,14437.0,-1669.0,0.0,0.0,0.0,0.0,-9368.0,14883.0,71221.0,0.0,0.0,0.0,25425.0,362.0,1915.0,23871.0,1363.0,205.0,0.0,25030.0,0.0,25030.0,0.0,21710.0,21710.0,9.49
3,1AT,Y 12.19,2409435.0,153260.0,63310.0,78116.0,595.0,0.0,11239.0,2256175.0,2080314.0,24978.0,0.0,150883.0,0.0,0.0,2409435.0,788828.0,193573.0,0.0,461328.0,133927.0,0.0,0.0,1620607.0,914441.0,14821.0,737447.0,0.0,0.0,162173.0,706166.0,381711.0,4202.0,-144329.0,2431.0,0.0,0.0,0.0,0.0,0.0,10759.0,801.0,92558.0,0.0,0.0,0.0,0.0,-41012.0,150883.0,720167.0,549448.0,14276.0,18811.0,137632.0,11033.0,2805.0,145860.0,5673.0,8986.0,0.0,142547.0,0.0,142547.0,0.0,115653.0,113583.0,2.93
4,3RG,Y 12.19,9059.0,2036.0,1101.0,935.0,0.0,0.0,0.0,7023.0,3452.0,2507.0,0.0,817.0,247.0,0.0,9059.0,-4636.0,3200.0,0.0,38061.0,-45897.0,0.0,-96.0,13791.0,359.0,0.0,0.0,0.0,359.0,0.0,13432.0,659.0,0.0,-8808.0,598.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,9590.0,0.0,0.0,0.0,0.0,796.0,817.0,8947.0,0.0,0.0,0.0,-4546.0,197.0,1546.0,-5895.0,188.0,521.0,0.0,-6228.0,0.0,-6228.0,0.0,-6228.0,-6331.0,-0.1978
5,4FM,Y 12.19,73845.0,58635.0,19942.0,21254.0,966.0,8.0,2691.0,15210.0,656.0,11568.0,0.0,2303.0,683.0,0.0,73845.0,27673.0,4239.0,-1159.0,23400.0,1194.0,0.0,-883.0,47054.0,19674.0,0.0,430.0,0.0,18241.0,1003.0,27380.0,7886.0,0.0,7959.0,5535.0,0.0,0.0,0.0,0.0,0.0,-10471.0,10819.0,-2571.0,0.0,0.0,0.0,671.0,-5084.0,2303.0,58840.0,44713.0,6485.0,9902.0,-2260.0,679.0,940.0,-2521.0,-1086.0,0.0,-12357.0,-15965.0,0.0,-15965.0,0.0,-15282.0,-13109.0,-3.1823
6,AAT,Y 12.19,176949.0,175866.0,0.0,107.0,0.0,175419.0,138.0,1083.0,0.0,560.0,173.0,335.0,15.0,0.0,176949.0,172093.0,15212.0,0.0,172935.0,-16054.0,0.0,0.0,4856.0,210.0,0.0,0.0,0.0,0.0,210.0,4646.0,304.0,0.0,-1441.0,168.0,0.0,0.0,0.0,0.0,0.0,1727.0,14.0,-142.0,0.0,0.0,0.0,0.0,144.0,335.0,929.0,0.0,0.0,0.0,-1647.0,3589.0,2460.0,-518.0,829.0,162.0,0.0,149.0,0.0,149.0,0.0,149.0,149.0,0.0098
7,ABS,Y 12.19,422641.0,343548.0,276091.0,12172.0,0.0,0.0,3972.0,79093.0,726.0,45941.0,0.0,15950.0,16476.0,0.0,422641.0,316105.0,167091.0,0.0,62543.0,86471.0,0.0,0.0,106536.0,49362.0,0.0,0.0,0.0,46863.0,2499.0,57174.0,16155.0,26513.0,105441.0,24507.0,0.0,0.0,0.0,0.0,0.0,-29504.0,4607.0,-72787.0,0.0,0.0,0.0,50127.0,3150.0,15950.0,273860.0,153518.0,12951.0,20439.0,86952.0,941.0,217.0,87676.0,896.0,1849.0,0.0,86723.0,0.0,86723.0,0.0,73439.0,73439.0,2.2
8,ACG,Y 12.19,174768.0,101585.0,5769.0,92037.0,0.0,1450.0,2329.0,73183.0,50778.0,15777.0,0.0,2354.0,4274.0,0.0,174768.0,114691.0,0.0,2470.0,74038.0,38183.0,0.0,0.0,60077.0,11533.0,0.0,0.0,0.0,0.0,11533.0,48544.0,6504.0,1451.0,41601.0,11463.0,0.0,0.0,0.0,0.0,0.0,-23527.0,23694.0,-20421.0,909.0,0.0,0.0,38922.0,-2347.0,2354.0,222682.0,141990.0,20151.0,16409.0,44132.0,3078.0,927.0,46283.0,2.0,777.0,946.0,46454.0,0.0,46454.0,0.0,38183.0,38183.0,3.87
9,ACP,Y 12.19,14597900.0,8845600.0,6671600.0,843300.0,110300.0,287200.0,246600.0,5751000.0,122600.0,2811800.0,194800.0,2153500.0,468300.0,1300.0,14597900.0,5762400.0,83000.0,0.0,4188300.0,1491100.0,0.0,2218600.0,6616900.0,2752300.0,0.0,1613100.0,0.0,472300.0,666900.0,3864600.0,732500.0,977600.0,1501300.0,635400.0,0.0,0.0,0.0,0.0,0.0,-669700.0,647900.0,-496700.0,0.0,0.0,0.0,254800.0,334900.0,2153500.0,10667400.0,8366400.0,568300.0,745200.0,987500.0,41100.0,52400.0,976200.0,46600.0,134700.0,0.0,888100.0,0.0,888100.0,0.0,703400.0,322400.0,3.88
